,title,author,format_year
0,Real-World Spanish: The Conversation Learning System,Camila Vega Rivera,eAudiobook - 2025
1,Learning Spanish-beginner I,"Iris Acevedo A.;Spanishonline, Costarica",eBook - 2025
2,100 Facts About Learning Spanish,Science-Based Language Learning Lab,eAudiobook - 2024
3,100 Facts About Learning Spanish,Science-Based Language Learning Lab,eBook - 2024
4,A Beginner's Guide to Learning Spanish,"Miller, Jackson",eAudiobook - 2024
5,No Tears Spanish Grammar: Easy Learning: Essential Rules for Beginners,"Bennett, Olivia",eBook - 2024
6,The Ultimate Learning Spanish Blueprint - 10 Essential Steps,"Ramirez, Andres",eBook - 2024
7,Guess What Baby J Is Learning? 123's Spanish,"Sharif, Mboya",eBook - 2023
8,Learning Spanish for Adults Beginner,"World, Spain",eBook - 2023
9,Learning to Read in English and Spanish Made Easy,"Navarijo, Susie G.",eBook - 2022
10,Learn Spanish Like a Native for Beginners - Level 1: Learning Spanish in Your Car Has Never Been Eas,Learn Like a Native,eBook - 2021
11,Spanish for Beginners: A Comprehensive Guide for Learning the Spanish Language Fast,Language Equipped Travelers,eBook - 2021
12,Learn Spanish Like a Native for Beginners - Level 2: Learning Spanish in Your Car Has Never Been Eas,Learn Like a Native,eBook - 2021
13,"Spanish: Beginner's Step by Step Course to Quickly Learning the Spanish Language, Spanish Grammar &","Michaels, Steven J.",eBook - 2021
14,I'm Learning Spanish,"Gardner, James M.",eAudiobook - 2020
15,I am learning Spanish,"Gardner, James M.",eAudiobook - 2018
16,The Best Spanish Learning Games for Children,"Professor, Baby",eBook - 2017
17,Easy Learning Spanish Vocabulary,"Dictionaries, Collins",eBook - 2016
18,Easy Learning Spanish Grammar: Trusted support for learning,Various Authors,eBook - 2016
19,Easy Learning Spanish Verbs,Various Authors,eBook - 2016
