product_id,product_name,price
1,Fantastic Shoes,2.25
2,For repair Soft Table,5.19
3,Sausages,5.42
4,Ergonomic Wooden Soap,8.99
5,Wooden Shoes,8.22
6,Cotton Bike,8.34
7,Sleek Granite Car,9.03
8,Concrete Cheese,1.46
9,Unbranded Wooden Keyboard,0.83
10,Cotton Sausages,9.89
11,Shoes,7.13
12,Mouse,6.42
13,Soft Pizza,1.81
14,Handcrafted Hat,3.55
15,Small Fish,1.34
16,Gorgeous Salad,9.85
17,Fantastic Sausages,8.1
18,Shirt,0.23
19,Hat,6.92
20,Licensed Cheese,3.93
21,Steel Car,9.18
22,Small Shirt,6.81
23,Bike,0.12
24,Plastic Pants,6.62
25,Incredible Hat,1.92
26,Unbranded Chicken,4.86
27,Table,2.67
28,Concrete Gloves,5.71
29,For repair Fresh Fish,9.26
30,Refined Cotton Sausages,3.78
31,Steel Mouse,1.24
32,Tasty Pizza,4.15
33,Steel Computer,7.42
34,Concrete Pants,8.52
35,Practical Fish,8.83
36,Sleek Concrete Cheese,3.92
37,Frozen Computer,2.26
38,Wooden Mouse,5.04
39,Unbranded Wooden Hat,6.36
40,Cotton Ball,6.59
41,Practical Steel Towels,4.49
42,Mouse,9.46
43,Salad,0.53
44,Practical Tuna,1.0
45,Handcrafted Wooden Fish,8.95
46,Sausages,3.79
47,Tuna,9.72
48,Rubber Mouse,7.85
49,Steel Sausages,5.35
50,Fantastic Fish,9.59
51,Pants,9.89
52,Rubber Towels,4.72
53,Ergonomic Cheese,5.01
54,Licensed Plastic Bike,9.3
55,Chair,3.62
56,Refined Ball,6.3
57,New Fresh Chips,7.73
58,Intelligent Chips,7.69
59,Ball,8.45
